"1","SMPFGZ","1","","","",""
"2","HFIANI","0","","","",""
"3","BQKCNC","1","","","0.00","0000-00-00 00:00:00"
"4","FYVWOK","0","","","0.00","0000-00-00 00:00:00"
"5","GCAGDU","0","","","0.00","0000-00-00 00:00:00"
"6","GRVLLC","0","","","0.00","0000-00-00 00:00:00"
"7","ATJNPB","0","","","0.00","0000-00-00 00:00:00"
"8","VWIPHL","0","","","0.00","0000-00-00 00:00:00"
"9","UNOTCY","0","","","0.00","0000-00-00 00:00:00"
"10","RJJZOA","0","","","0.00","0000-00-00 00:00:00"
"11","ZTHBYZ","0","","","0.00","0000-00-00 00:00:00"
"12","BMJJRO","0","","","0.00","0000-00-00 00:00:00"
"13","WWHKLV","0","","","0.00","0000-00-00 00:00:00"
"14","YWEEHI","0","","","0.00","0000-00-00 00:00:00"
"15","GRLBZO","0","","","0.00","0000-00-00 00:00:00"
"16","HSHSDE","0","","","0.00","0000-00-00 00:00:00"
"17","GCAVBV","0","","","0.00","0000-00-00 00:00:00"
"18","BLVBYF","0","","","0.00","0000-00-00 00:00:00"
"19","OABTUP","0","","","0.00","0000-00-00 00:00:00"
"20","UBPAKY","0","","","0.00","0000-00-00 00:00:00"
"21","ORJFDD","0","","","0.00","0000-00-00 00:00:00"
"22","YSCPGS","0","","","0.00","0000-00-00 00:00:00"
"23","ESQYZD","0","","","0.00","0000-00-00 00:00:00"
"24","HDADIN","0","","","0.00","0000-00-00 00:00:00"
"25","VNSZBN","0","","","0.00","0000-00-00 00:00:00"
"26","HSKVGA","0","","","0.00","0000-00-00 00:00:00"
"27","CDHISA","0","","","0.00","0000-00-00 00:00:00"
"28","SWVJPJ","0","","","0.00","0000-00-00 00:00:00"
"29","AMKIJE","0","","","0.00","0000-00-00 00:00:00"
"30","ZQRTIH","0","","","0.00","0000-00-00 00:00:00"
"31","NRXNPO","0","","","0.00","0000-00-00 00:00:00"
"32","FZAAIV","0","","","0.00","0000-00-00 00:00:00"
"33","IZPONX","0","","","0.00","0000-00-00 00:00:00"
"34","VFWPRQ","0","","","0.00","0000-00-00 00:00:00"
"35","RBENGD","0","","","0.00","0000-00-00 00:00:00"
"36","INKTVR","0","","","0.00","0000-00-00 00:00:00"
"37","HQPQLJ","0","","","0.00","0000-00-00 00:00:00"
"38","FZTWFB","0","","","0.00","0000-00-00 00:00:00"
"39","TMQMXZ","0","","","0.00","0000-00-00 00:00:00"
"40","HNTUJU","0","","","0.00","0000-00-00 00:00:00"
"41","LMBOGZ","0","","","0.00","0000-00-00 00:00:00"
"42","RZEYSP","0","","","0.00","0000-00-00 00:00:00"
"43","FARUDN","0","","","0.00","0000-00-00 00:00:00"
"44","NOPQRC","0","","","0.00","0000-00-00 00:00:00"
"45","GSERXY","0","","","0.00","0000-00-00 00:00:00"
"46","YUILIJ","0","","","0.00","0000-00-00 00:00:00"
"47","PLIFOS","0","","","0.00","0000-00-00 00:00:00"
"48","BQKHPI","0","","","0.00","0000-00-00 00:00:00"
